"Well";"Sample.Name";"Detector";"Task";"Ct";"StdDev.Ct";"Qty";"Mean.Qty";"StdDev.Qty";"Filtered";"Tm";"Rn";"User.Defined..2";"User.Defined..3"
"A1";"RNAi1-1";"18S";"Unknown";"15.2104";5,84;NA;NA;NA;"";85,6;NA;NA;NA
"A2";"RNAi1-2";"18S";"Unknown";"15.2286";5,84;NA;NA;NA;"";85,6;NA;NA;NA
"A3";"RNAi1-3";"18S";"Unknown";"15.4853";5,84;NA;NA;NA;"";85,6;NA;NA;NA
"A4";"RNAi2-1";"18S";"Unknown";"15.3587";5,84;NA;NA;NA;"";85,6;NA;NA;NA
"A5";"RNAi2-2";"18S";"Unknown";"15.2092";5,84;NA;NA;NA;"";85,6;NA;NA;NA
"A6";"RNAi2-3";"18S";"Unknown";"15.1074";5,84;NA;NA;NA;"";85,6;NA;NA;NA
"A7";"Control-1";"18S";"Unknown";"18.0093";5,84;NA;NA;NA;"";85,6;NA;NA;NA
"A8";"Control-2";"18S";"Unknown";"17.261";5,84;NA;NA;NA;"";85,6;NA;NA;NA
"A9";"Control-3";"18S";"Unknown";"17.4424";5,84;NA;NA;NA;"";85,6;NA;NA;NA
"A10";"";"18S";"Unknown";"10.375";NA;NA;NA;NA;"";80;NA;NA;NA
"A11";"";"18S";"Unknown";"Undetermined";NA;NA;NA;NA;"";88,8;NA;NA;NA
"A12";"";"18S";"Unknown";"Undetermined";NA;NA;NA;NA;"";88,8;NA;NA;NA
"B1";"RNAi1-1";"18S";"Unknown";"15.4343";5,84;NA;NA;NA;"";85,6;NA;NA;NA
"B2";"RNAi1-2";"18S";"Unknown";"15.2661";5,84;NA;NA;NA;"";85,9;NA;NA;NA
"B3";"RNAi1-3";"18S";"Unknown";"15.3171";5,84;NA;NA;NA;"";85,9;NA;NA;NA
"B4";"RNAi2-1";"18S";"Unknown";"15.319";5,84;NA;NA;NA;"";85,9;NA;NA;NA
"B5";"RNAi2-2";"18S";"Unknown";"15.1371";5,84;NA;NA;NA;"";85,9;NA;NA;NA
"B6";"RNAi2-3";"18S";"Unknown";"15.1738";5,84;NA;NA;NA;"";85,9;NA;NA;NA
"B7";"Control-1";"18S";"Unknown";"17.8956";5,84;NA;NA;NA;"";85,9;NA;NA;NA
"B8";"Control-2";"18S";"Unknown";"17.1959";5,84;NA;NA;NA;"";85,9;NA;NA;NA
"B9";"Control-3";"18S";"Unknown";"17.2401";5,84;NA;NA;NA;"";85,6;NA;NA;NA
"B10";"";"18S";"Unknown";"Undetermined";NA;NA;NA;NA;"Noisy BL";NA;NA;NA;NA
"B11";"";"18S";"Unknown";"14.838";NA;NA;NA;NA;"";78,9;NA;NA;NA
"B12";"";"18S";"Unknown";"13.4946";NA;NA;NA;NA;"";79,2;NA;NA;NA
"C1";"RNAi1-1";"18S";"Unknown";"15.2322";5,84;NA;NA;NA;"";85,9;NA;NA;NA
"C2";"RNAi1-2";"18S";"Unknown";"15.1855";5,84;NA;NA;NA;"";85,9;NA;NA;NA
"C3";"RNAi1-3";"18S";"Unknown";"15.3687";5,84;NA;NA;NA;"";85,9;NA;NA;NA
