"content";"ct"
"maïs";38,4396343023747
"maïs";39,1720010867208
"maïs";39,1480850758063
"maïs";38,9340477015737
"maïs";39,1480850758063
"maïs";39,3964056299272
"maïs cDNA";30,4768544723768
"maïs cDNA";29,3498457674447
"maïs cDNA";29,4520948674579
"maïs cDNA";30,7367832273585
"maïs cDNA";31,3181438118115
"maïs cDNA";31,3930064471451
"maïs";34,6030372813848
"maïs";36,4404760523394
"maïs cDNA";29,4520948674579
"maïs cDNA";29,5276946290536
"maïs cDNA";29,3734565417492
"colza cDNA";36,3273238978653
"colza cDNA";31,255743668166
"colza cDNA";39,3964056299272
"colza";31,255743668166
"colza";30,7020332090332
"colza";30,2710309067841
"colza cDNA";34,0810398760014
"colza cDNA";34,6211761988097
"colza cDNA";34,5730008498651
"Sol nu cDNA";33,265976277353
"Sol nu cDNA";31,419709783435
"Sol nu cDNA";31,5733032321471
"Sol nu cDNA";31,6027638567092
"Sol nu cDNA";31,5264202957621
"Sol nu cDNA";31,552780189664
