"Content";"Ct"
"maïs";384396343023747
"maïs";391720010867208
"maïs";391480850758063
"maïs";389340477015737
"maïs";391480850758063
"maïs";393964056299272
"maïs";304768544723768
"maïs";293498457674447
"maïs";294520948674579
"maïs";307367832273585
"maïs";313181438118115
"maïs";313930064471451
"maïs";346030372813848
"maïs";364404760523394
"maïs";294520948674579
"maïs";295276946290536
"maïs";293734565417492
"colza";363273238978653
"colza";31255743668166
"colza";393964056299272
"colza";31255743668166
"colza";307020332090332
"colza";302710309067841
"colza";340810398760014
"colza";346211761988097
"colza";345730008498651
"sol nu";33265976277353
"sol nu";31419709783435
"sol nu";315733032321471
"sol nu";316027638567092
"sol nu";315264202957621
"sol nu";31552780189664
